GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,Employee,0,84,0,0,0,23,0,13,0,13
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,Logic,29,267,3,9,15,66,3,12,0,9
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,Temp,1,3,0,0,1,1,1,1,1,1
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,EmplApp,110,0,14,0,39,0,18,0,9,0
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,Clerk,0,17,0,0,0,5,0,3,0,3
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,EmpTest,122,0,0,0,42,0,8,0,8,0
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,Manager,0,17,0,0,0,5,0,3,0,3
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,Programmer,0,17,0,0,0,5,0,3,0,3
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,Control,0,15,0,0,0,5,0,4,0,4
EmplApp (2) (28 Jun 2021 21:21:39)/emptest/src,emptest,Serve,14,137,3,15,9,45,3,17,0,8
